filename,category
invoice_2024.pdf,Finance
billing_statement.pdf,Finance
receipt_december.png,Finance
tax_return_2023.pdf,Finance
bank_statement_jan.pdf,Finance
credit_card_bill.pdf,Finance
salary_slip_nov.pdf,Finance
investment_portfolio.xlsx,Finance
expense_report_q1.docx,Finance
utility_bill_water.pdf,Finance
electric_bill_june.pdf,Finance
insurance_policy.pdf,Finance
budget_plan_2025.xlsx,Finance
receipt_uber_ride.jpg,Finance
invoice_freelance_work.pdf,Finance
project_plan_v1.docx,Work
quarterly_report_q3.docx,Work
meeting_notes_team_sync.txt,Work
presentation_sales_deck.pptx,Work
contract_agreement_signed.pdf,Work
client_proposal_draft.docx,Work
employee_handbook.pdf,Work
marketing_strategy_2025.pdf,Work
sprint_planning_notes.md,Work
agenda_board_meeting.docx,Work
nda_agreement.pdf,Work
memo_office_policy.docx,Work
resume_updated.pdf,Personal
family_photo_vacation.jpg,Personal
vacation_itinerary_paris.pdf,Personal
wedding_invitation.png,Personal
medical_prescription.pdf,Personal
gym_membership.pdf,Personal
grocery_list.txt,Personal
lease_agreement_apartment.pdf,Personal
artwork_sketch.png,Personal
birthday_party_plan.docx,Personal
passport_scan.jpg,Personal
drivers_license.jpg,Personal
code_snippet.py,Developer
config_backup.json,Developer
log_dump_server.txt,Developer
main.js,Developer
style.css,Developer
index.html,Developer
docker-compose.yml,Developer
requirements.txt,Developer
package.json,Developer
api_documentation.md,Developer
database_schema.sql,Developer
env_variables.env,Developer
school_assignment_math.docx,Education
thesis_draft_final.pdf,Education
lecture_notes_history.txt,Education
research_paper_ai.pdf,Education
class_schedule_fall.png,Education
study_guide_biology.pdf,Education
transcript_official.pdf,Education
lab_report_chemistry.docx,Education
movie_clip.mp4,Media
audio_song.mp3,Media
holiday_video.avi,Media
podcast_episode.wav,Media
backup_archive.zip,Archive
source_code.tar.gz,Archive
project_files.rar,Archive
server_logs.7z,Archive
design_mockup.fig,Design
website_prototype.xd,Design
logo_vector.ai,Design
presentation_graphics.psd,Design
blood_test_results.pdf,Health
clinic_prescription.pdf,Health
health_insurance_card.jpg,Health
flight_ticket_nyc.pdf,Travel
hotel_booking_confirmation.pdf,Travel
travel_itinerary_japan.docx,Travel
passport_visa_copy.png,Travel
docker_file_template.txt,Developer
kubernetes_deployment.yaml,Developer
nginx_config.conf,Developer
webpack_config.js,Developer
react_component.jsx,Developer
database_dump.sql,Developer
api_postman_collection.json,Developer
system_architecture_diagram.drawio,Developer
